standard_inchikeys,standard_smiles
HLVFKOKELQSXIQ-UHFFFAOYSA-N,CC(C)CBr
HNRMPXKDFBEGFZ-UHFFFAOYSA-N,CCC(C)(C)C
SPANOECCGNXGNR-UHFFFAOYSA-N,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C
LAOZSCRCYVBSJA-UHFFFAOYSA-N,CC1(C)C(=O)NC(=O)NC1=O
YNQLUTRBYVCPMQ-UHFFFAOYSA-N,CCc1ccccc1
UOAMTSKGCBMZTC-UHFFFAOYSA-N,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
ODLMAHJVESYWTB-UHFFFAOYSA-N,CCCc1ccccc1
DURPTKYDGMDSBL-UHFFFAOYSA-N,CCCCOCCCC
JHEFOJNPLXSWNZ-UHFFFAOYSA-N,CC(=O)Nc1ccc(F)cc1
XEFQLINVKFYRCS-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
KOCYTWBTXZOUFS-UHFFFAOYSA-N,Cc1cnc2cncnc2n1
DZBUGLKDJFMEHC-UHFFFAOYSA-N,c1ccc2nc3ccccc3cc2c1
YRHYCMZPEVDGFQ-UHFFFAOYSA-N,CCCCCCCCCC(=O)OC
FZSVSABTBYGOQH-UHFFFAOYSA-N,CNC(=O)ON=C(CSC)C(C)(C)C
RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1
KIVUHCNVDWYUNP-UHFFFAOYSA-N,Nc1cc2c3ccccc3ccc2c2ccccc12
FRCCEHPWNOQAEU-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C(Cl)C=CC3C1(Cl)C2(Cl)Cl
NMWSKOLWZZWHPL-UHFFFAOYSA-N,Clc1cccc(-c2ccccc2)c1
ZGHQUYZPMWMLBM-UHFFFAOYSA-N,Clc1ccc(-c2ccccc2)cc1Cl
XGMPVBXKDAHORN-UHFFFAOYSA-N,CC(=O)OCC(=O)C1(O)C(OC(C)=O)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
QCMQDLGMYAJPLB-UHFFFAOYSA-N,COC1=CC2OC3C=CC(=O)CC3C(=O)C2C(=O)C1
HFZWRUODUSTPEG-UHFFFAOYSA-N,Oc1ccc(Cl)cc1Cl
JTGMTYWYUZDRBK-UHFFFAOYSA-N,Cc1c2ccccc2c(C)c2ccccc12
PQVZDTWRGIHYCU-UHFFFAOYSA-N,O=C1NC(=O)C2(CC2)C(=O)N1
KXKVLQRXCPHEJC-UHFFFAOYSA-N,COC(C)=O
GVYLCNUFSHDAAW-UHFFFAOYSA-N,ClC1(Cl)C2(Cl)C3(Cl)C4(Cl)C(Cl)(Cl)C5(Cl)C3(Cl)C1(Cl)C5(Cl)C24Cl
XYWDPYKBIRQXQS-UHFFFAOYSA-N,CC(C)SC(C)C
SGEJQUSYQTVSIU-UHFFFAOYSA-N,CCCCN(CC)C(=O)SCCC
KJCVRFUGPWSIIH-UHFFFAOYSA-N,Oc1cccc2ccccc12
GZUXJHMPEANEGY-UHFFFAOYSA-N,CBr
ZRSNZINYAWTAHE-UHFFFAOYSA-N,COc1ccc(C=O)cc1
RRNIZKPFKNDSRS-UHFFFAOYSA-N,CC(C)OP(=S)(OC(C)C)SCCNS(=O)(=O)c1ccccc1
SCYULBFZEHDVBN-UHFFFAOYSA-N,CC(Cl)Cl
PDMMFKSKQVNJMI-UHFFFAOYSA-N,CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
QYZLKGVUSQXAMU-UHFFFAOYSA-N,C=CCC=C
GCNTZFIIOFTKIY-UHFFFAOYSA-N,O=c1cc[nH]cc1
YLQBMQCUIZJEEH-UHFFFAOYSA-N,c1ccoc1
FULZLIGZKMKICU-UHFFFAOYSA-N,NC(=S)Nc1ccccc1
XLOMZPUITCYLMJ-UHFFFAOYSA-N,C=CCC1(C(C)CCC)C(=O)NC(=S)NC1=O
YXVFYQXJAXKLAK-UHFFFAOYSA-N,Oc1ccc(-c2ccccc2)cc1
MTZBBNMLMNBNJL-UHFFFAOYSA-N,Cc1cccc(C)c1NC(=O)c1cc(S(N)(=O)=O)c(Cl)cc1O
HGCIXCUEYOPUTN-UHFFFAOYSA-N,C1=CCCCC1
BAYAKMPRFGNNFW-UHFFFAOYSA-N,CC(C)C(O)C(C)C
NBBJYMSMWIIQGU-UHFFFAOYSA-N,CCC=O
QBSJMKIUCUGGNG-UHFFFAOYSA-N,CNC(=O)Oc1ccccc1C(C)C
LTEQMZWBSYACLV-UHFFFAOYSA-N,CCCCCCc1ccccc1
BJVVMKUXKQHWJK-UHFFFAOYSA-N,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
NIQCNGHVCWTJSM-UHFFFAOYSA-N,COC(=O)c1ccccc1C(=O)OC
RWGFKTVRMDUZSP-UHFFFAOYSA-N,CC(C)c1ccccc1
DHTZKRIZYPAKLO-UHFFFAOYSA-N,O=C(CC(Cl)Cl)NC1=C(Cl)C(=O)c2ccccc2C1=O
VAOCPAMSLUNLGC-UHFFFAOYSA-N,Cc1ncc([N+](=O)[O-])n1CCO
DFBKLUNHFCTMDC-UHFFFAOYSA-N,ClC1=C(Cl)C2(Cl)C3C4CC(C5OC45)C3C1(Cl)C2(Cl)Cl
HJOVHMDZYOCNQW-UHFFFAOYSA-N,CC1=CC(=O)CC(C)(C)C1
RRAFCDWBNXTKKO-UHFFFAOYSA-N,C=CCc1ccc(O)c(OC)c1
IZUKQUVSCNEFMJ-UHFFFAOYSA-N,O=[N+]([O-])c1ccccc1[N+](=O)[O-]
ANIAQSUBRGXWLS-UHFFFAOYSA-N,CCOP(=S)(CC)Oc1cc(Cl)c(Cl)cc1Cl
PTBKFATYSVLSSD-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(C=NO)o1
ZSFUDSWIVAQKEN-UHFFFAOYSA-N,CCN1c2cc(Cl)ccc2NC(=O)c2cccnc21
ZSIAUFGUXNUGDI-UHFFFAOYSA-N,CCCCCCO
RWCCWEUUXYIKHB-UHFFFAOYSA-N,O=C(c1ccccc1)c1ccccc1
FWAJPSIPOULHHH-UHFFFAOYSA-N,Brc1ccc(Br)c(Br)c1
