Compound ID,measured_log_solubility,ESOL_log,SMILES,standard_smiles,standard_inchikeys
1-Bromo-2-methylpropane,-2.43,-2.288,CC(C)CBr,CC(C)CBr,HLVFKOKELQSXIQ-UHFFFAOYSA-N
"2,2-Dimethylbutane",-3.55,-2.584,CCC(C)(C)C,CCC(C)(C)C,HNRMPXKDFBEGFZ-UHFFFAOYSA-N
Diallate,-4.286,-3.827,CC(C)N(C(C)C)C(=O)SCC(=CCl)Cl,CC(C)N(C(=O)SCC(Cl)=CCl)C(C)C,SPANOECCGNXGNR-UHFFFAOYSA-N
"5,5-Dimethylbarbituric acid",-1.742,-0.556,O=C1NC(=O)NC(=O)C1(C)C,CC1(C)C(=O)NC(=O)NC1=O,LAOZSCRCYVBSJA-UHFFFAOYSA-N
Ethylbenzene,-2.77,-2.988,CCc1ccccc1,CCc1ccccc1,YNQLUTRBYVCPMQ-UHFFFAOYSA-N
Dicofol,-5.666,-6.268,OC(c1ccc(Cl)cc1)(c2ccc(Cl)cc2)C(Cl)(Cl)Cl,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,UOAMTSKGCBMZTC-UHFFFAOYSA-N
Propylbenzene ,-3.37,-3.281,CCCc1ccccc1,CCCc1ccccc1,ODLMAHJVESYWTB-UHFFFAOYSA-N
Dibutyl ether ,-1.85,-2.135,CCCCOCCCC,CCCCOCCCC,DURPTKYDGMDSBL-UHFFFAOYSA-N
p-Fluoroacetanilide,-1.78,-2.181,CC(=O)Nc1ccc(F)cc1,CC(=O)Nc1ccc(F)cc1,JHEFOJNPLXSWNZ-UHFFFAOYSA-N
Triclosan,-4.46,-5.645,Oc1cc(Cl)ccc1Oc2ccc(Cl)cc2Cl,Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl,XEFQLINVKFYRCS-UHFFFAOYSA-N
7-methylpteridine,-0.854,-1.24,Cc2cnc1cncnc1n2,Cc1cnc2cncnc2n1,KOCYTWBTXZOUFS-UHFFFAOYSA-N
Acridine,-3.67,-3.846,c3ccc2nc1ccccc1cc2c3,c1ccc2nc3ccccc3cc2c1,DZBUGLKDJFMEHC-UHFFFAOYSA-N
Methyl decanoate,-4.69,-3.316,CCCCCCCCCC(=O)OC,CCCCCCCCCC(=O)OC,YRHYCMZPEVDGFQ-UHFFFAOYSA-N
thiofanox,-1.62,-2.7,CNC(=O)ON=C(CSC)C(C)(C)C ,CNC(=O)ON=C(CSC)C(C)(C)C,FZSVSABTBYGOQH-UHFFFAOYSA-N
