Model,Parameters,CCV $R^2$,Fold0 $R^2$,Fold1 $R^2$,Fold2 $R^2$,Ind $R^2$,CCV RMSE,Fold0 RMSE,Fold1 RMSE,Fold2 RMSE,Ind RMSE
MAT,42049537,0.532,0.751,0.332,0.715,0.375,2.007,1.231,3.075,1.058,2.113
0,21061633,0.670,0.778,0.520,0.727,0.4718,1.449,1.161,1.959,1.054,1.914
1,502529,0.662,0.769,0.465,0.733,0.4576,1.467,1.231,1.972,1.028,1.946
2,336385,0.693,0.764,0.563,0.706,0.4890,1.377,1.260,1.682,1.126,1.870
3,336385,0.672,0.764,0.539,0.685,0.4461,1.454,1.239,1.857,1.165,1.949
4,22657,0.724,0.780,0.626,0.716,0.4831,1.297,1.187,1.582,1.066,1.903
5,11905,0.723,0.793,0.595,0.744,0.4628,1.271,1.130,1.605,0.998,1.923
6,11905,0.713,0.786,0.582,0.756,0.4517,1.350,1.272,1.680,1.012,1.903
7,3393,0.6764,0.7914,0.5243,0.7424,0.5528,1.459,1.172,1.916,1.159,1.779
8,2609,0.695,0.779,0.545,0.737,0.458,1.376,1.169,1.788,1.055,1.973
9,2609,0.677,0.767,0.552,0.720,0.467,1.454,1.252,1.919,1.043,1.973
Elastic,1463,0.414,0.441,0.394,0.408,0.377,1.835,1.843,1.965,1.687,2.090
Lasso,1077,0.395,0.409,0.378,0.392,0.351,1.876,1.914,1.984,1.719,2.136
PLS,2048,0.228,0.212,0.333,0.0747,0.676,2.413,3.085,2.082,1.902,2.081
Ridge,2048,0.319,0.289,0.354,0.291,0.261,2.239,2.503,2.032,2.155,2.312
