Name,State,Notes,User,Tags,Created,Runtime,Sweep,Parameters,Test Eval Time,Test R2,Test RMSE,Train Epoch R2,Train Epoch RMSE,Train Eval Time,Train Loss
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed4,finished,-,paf46,,2021-04-22T18:38:29.000Z,68945,,3393,0.157195865,0.888451991,0.533513686,,,1.17840004,
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed1,finished,-,paf46,,2021-04-22T18:38:29.000Z,68920,,3393,0.223116,0.909280908,0.329666088,,,1.735801,
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed2,finished,-,paf46,,2021-04-22T18:38:29.000Z,6360,,3393,0.218053341,0.868036715,0.39991049,,,1.688435078,
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed3,finished,-,paf46,,2021-04-22T16:21:20.000Z,332,,3393,0.249221563,0.892867812,0.670163294,0.853019863,0.735500259,1.721807957,0.123084389
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed5,finished,-,paf46,,2021-04-22T16:21:19.000Z,388,,3393,0.145223379,0.905051026,0.3236716,0.887709132,0.349556039,1.126292467,0.078136086
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs5000_dyn8_seed0,finished,-,paf46,,2021-04-22T16:21:17.000Z,351,,3393,0.158301353,0.840724392,0.405654334,0.885171516,0.397268361,1.161673784,0.081312746
esol_rand_2d_1_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed1,finished,-,paf46,,2021-04-21T16:18:35.000Z,477,,3393,0.146498919,0.90757209,0.312378304,0.899731074,0.318672448,1.377317905,0.038906477
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed2,finished,-,paf46,,2021-04-21T16:18:34.000Z,494,,3393,0.159661293,0.869690964,0.347579524,0.907255297,0.309002344,1.425226688,0.124327466
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed0,finished,-,paf46,,2021-04-21T16:18:34.000Z,478,,3393,0.159862518,0.855785068,0.389245937,0.901472577,0.323949533,1.332760811,0.059326347
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed5,finished,-,paf46,,2021-04-21T16:18:34.000Z,470,,3393,0.14914465,0.899832659,0.308809272,0.893542093,0.329541895,1.376663446,0.131520212
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed3,finished,-,paf46,,2021-04-21T16:18:34.000Z,463,,3393,0.153753042,0.926287821,0.330765368,0.896061296,0.343643834,1.364856005,0.053488195
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs100_dyn0_seed4,finished,-,paf46,,2021-04-21T16:18:34.000Z,490,,3393,0.204067707,0.893116504,0.32274005,0.902849013,0.328583673,1.41778636,0.126058653
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed0,finished,-,paf46,,2021-04-23T15:53:55.000Z,1306,,3393,0.165189743,0.888383661,0.355509757,0.917260463,0.349058095,1.149517775,0.054849159
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs500_dyn0_seed5,finished,-,paf46,,2021-04-23T15:53:57.000Z,2135,,3393,0.158484459,0.919670292,0.286190343,0.935963612,0.265051731,1.142578602,0.172656983
esol_rand_2d_4_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed4,finished,-,paf46,,2021-04-23T15:53:57.000Z,1354,,3393,0.178085327,0.881773624,0.352822531,0.90955266,0.341827565,1.241974831,0.059161734
esol_rand_2d_0_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs500_dyn0_seed0,finished,-,paf46,,2021-04-23T15:53:57.000Z,2130,,3393,0.163151979,0.91439248,0.318639659,0.934999344,0.302038042,1.133700848,0.01301505
esol_rand_2d_3_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed3,finished,-,paf46,,2021-04-23T15:53:57.000Z,1327,,3393,0.171055555,0.927953336,0.324551526,0.924811134,0.339569649,1.221621037,0.088804126
esol_rand_2d_2_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs500_dyn0_seed2,finished,-,paf46,,2021-04-23T15:53:57.000Z,2141,,3393,0.154016495,0.895355735,0.32325677,0.929193689,0.278604914,1.140663624,0.027949167
esol_rand_2d_5_2d_drop0.1_ldist0.0_lattn0.5_Ndense1_heads2_dmodel8_nsl8_epochs300_dyn0_seed5,finished,-,paf46,,2021-04-23T15:53:57.000Z,1289,,3393,0.166826487,0.918305683,0.278459833,0.926342765,0.271671553,1.210295439,0.066734314
