smile,y
CCCCCCCCCCCCCCCCCC[N+](C)(C)C,-3.6161271205
O=C1Nc2cccc3cccc1c23,-3.2547670983
Clc1ccc(C=O)cc1,-2.1770779444
Cc1cccc(C=C)c1,-3.1231503041
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
CN(C)c1ccc(C=O)cc1,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685
CC(C)(C)c1ccc(OCC2CO2)cc1,-3.4302388798
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008
CC(C)=CCC\C(C)=C/CO,-2.3206011661000003
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863
CCCCC(CC)CO[P]([S-])(=S)OCC(C)C,-2.9581950472000003
FC(F)(F)c1cccc(Cl)c1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)CCCCCOC(=O)CCS,-4.4543816995
CC(C)=C1CCC(=CC1)C,-4.2873429345
[O-][Si]([O-])=O,-3.4731390517
CC(=C)C([O-])=O,-2.3632080977000003
CCNCC(O)c1cccc(O)c1,-3.4541026398000003
CCC(C)O[P]([S-])(=S)OC(C)CC(C)C,-2.9908768679000004
ClCc1ccc(Cl)cc1Cl,-3.5129421932
CC1(C)C2CCC(=C)C1C2,-4.2923134549
CCCCCCCC\C=C/CCCCCCCC(O)=O,-4.8091341894
CCCCCCCCCCCCOC(=O)C(C)O,-4.6341446203
NO,-0.763033718
C=CC(=O)OCCOc1ccccc1,-2.5636257131
Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003
OC(=O)CCCCCCCCC=C,-3.5528261452
C[N+](C)(CCCN[S](=O)(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)CC([O-])=O,-4.0571851475
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999
CC(=C)c1cccc(c1)C(C)=C,-4.4511392252
CC(C)(C)CCCCCC(=O)OC=C,-4.581332510899999
Cc1ccc(cc1)C(C)(C)C,-4.4720217682
OC(=O)C1CCCCC1,-1.445031941
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711
CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.0386996230000003
C1CN(CCO1)Sc2sc3ccccc3n2,-3.8109627954
CCCN(CCC)C(=O)SCC,-2.7031744039
C1CC(CCC1COCC2CO2)COCC3CO3,-1.8357972344
[O-][P]([O-])([O-])=O,-4.1419008964
O=[P+]1Oc2ccccc2c3ccccc13,-1.7796231349
C=COC(=O)c1ccccc1,-2.6229591952
COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004
CC(=O)OC\C=C(C)/CCC=C(C)C,-3.7549532157
CC1CC(=O)CC(C)(C)C1,-1.6471414632
SCCC(=O)OCC(COC(=O)CCS)(COC(=O)CCS)COC(=O)CCS,-5.1231687481
CCCCCCCCCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCCCC,-5.4730005799
CCOC(=O)CC(C)CC(C)(C)C,-3.8230431676
[O-][Si]([O-])=O,-2.6500869941
CCc1ccc(C)nc1,-1.0042604536
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.4270312571
CC(=C)C(=O)OCCOc1ccccc1,-2.9526471698
CF,-0.17587437649999998
CCCC(CCC)C(O)=O,-1.8579774272
Oc1ccccc1,-4.0347567611
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152
C[Si](C)(C)O[Si](C)(C)C,-4.909505216
FC(=C)C(F)(F)F,-2.7599573667
CC(=C)C1CCC(=CC1)C,-3.8464965295
S=[W]=S,-4.1391336425
CC(=O)O[C@H]1C[C@H]2CC[C@@]1(C)C2(C)C,-3.0887781924
[O-][Si]([O-])=O,-6.6197116003
CCCC(=O)OC(C)(C)Cc1ccccc1,-4.1359426126
CCCOCC(C)OCC(C)O,-0.0700526508
CC1(C)CC(CC(C)(CN=C=O)C1)N=C=O,-4.1708247593
CCCCCCCC\C=C/CCCCCCCC(O)=O,-4.4100874366000005
CCCCC(CC)C(=O)OC=C,-4.1519109764
CC(=C)C(=O)NCNC(=O)C(C)=C,-1.1892367555
CO[Si](CCCN=C=O)(OC)OC,-3.2569810012
CCO[Si](CCCCl)(OCC)OCC,-3.3285834497000004
CCCCOC(=O)c1ccccc1C(=O)OCCCC,-4.3876832538
Cc1cc(C)c(c(C)c1Nc2ccc(Nc3c(C)cc(C)c(c3C)[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)[S]([O-])(=O)=O,-1.7922611704
CCCCCCCCC\C=C\CC1CC(=O)OC1=O,-4.4255032449
CC(C)CC(C)CC(C)\C=C(/C)C1CC(=O)OC1=O,-4.4255032449
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)COB(OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC)OCC(O)COC(=O)CCCCCCC\C=C/CCCCCCCC,-5.345705158
CCCCCCCCCC(=O)Oc1ccc(cc1)C(O)=O,-5.4245475497000015
CCO[Si](CCCSSCCC[Si](OCC)(OCC)OCC)(OCC)OCC,-5.6765418086000015
COc1ccc(\C=C\C(=O)OCCC(C)C)cc1,-5.4919252104
CCCCCCCCCCCCCCCC(=O)NCC(O)=O,-5.593122621900001
