smile,y
O=C1Nc2cccc3cccc1c23,-3.2547670983
Clc1ccc(C=O)cc1,-2.1770779444
CC(c1ccccc1)c2cc(C(C)c3ccccc3)c(O)c(c2)C([O-])=O,-3.9244090954
C1OC1CN(CC2CO2)c3ccc(Cc4ccc(cc4)N(CC5CO5)CC6CO6)cc3,-4.6620645831
Cc1cccc(C=C)c1,-3.1231503041
CCC1CCC(CCC(O)=O)C1,-3.286116314
CC12CC(O)C3C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-2.6645485391
Fc1ccc(cc1)C(=O)c2ccc(F)cc2,-4.3966521847000015
O=C(OCCCOCCCOC(=O)c1ccccc1)c2ccccc2,-4.595502563999999
CN(C)c1ccc(C=O)cc1,-2.2827688499
CC(=O)OC(C)(C)Cc1ccccc1,-2.3946499685
Cc1ccc(O)c(C)c1,-1.9803097957
COCCCCC(=O)c1ccc(cc1)C(F)(F)F,-3.5440597008
CC(Oc1ccc(Cl)cc1C)C(O)=O,-2.4660307863
FC(F)(F)c1cccc(Cl)c1,-3.4115138849
CCC(C)(CCC(C)C)C(=O)OCC1CO1,-3.5134687407
CC(C)=C1CCC(=CC1)C,-4.2873429345
CCNCC(O)c1cccc(O)c1,-3.4541026398000003
ClCc1ccc(Cl)cc1Cl,-3.5129421932
CC1(C)C2CCC(=C)C1C2,-4.2923134549
C=CC(=O)OCCOc1ccccc1,-2.5636257131
Oc2ccc(c3ccccc23)[S]([O-])(=O)=O,-2.6418192727000003
CCC(Cc1ccccc1)(N(C)C)C(=O)c2ccc(cc2)N3CCOCC3,-4.7932278922
CC(C)CCCCCCc1ccc(O)cc1,-4.587250024599999
CC(=C)c1cccc(c1)C(C)=C,-4.4511392252
Cc1ccc(cc1)C(C)(C)C,-4.4720217682
OC(=O)C1CCCCC1,-1.445031941
[O-][S](=O)(=O)OCC[S](=O)(=O)c1cccc(Nc2nc(Cl)nc(Nc3cc(cc4C=C(\C(=N/Nc5ccc6c(cccc6[S]([O-])(=O)=O)c5[S]([O-])(=O)=O)C(=O)c34)[S]([O-])(=O)=O)[S]([O-])(=O)=O)n2)c1,-0.4108977358
C(CCCN=C\C=C\c1ccccc1)CCN=C/C=C/c2ccccc2,-3.8937390711
CC(C)(C)CC(C)(C)c1cc(Cc2cc(cc(n3nc4ccccc4n3)c2O)C(C)(C)CC(C)(C)C)c(O)c(c1)n5nc6ccccc6n5,-7.973715535399999
CCN(CC[N+](C)(C)C)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O,-3.0386996230000003
C1CN(CCO1)Sc2sc3ccccc3n2,-3.8109627954
CC1(C)[C@H]2C[C@@H]3O[C@]3(C)[C@@H]1C2,-2.5936884915
NC(=O)Nc1cc(Nc2nc(Cl)nc(Nc3cccc(c3)[S](=O)(=O)CCO[S]([O-])(=O)=O)n2)ccc1N=Nc4cc5c(cc(cc5[S]([O-])(=O)=O)[S]([O-])(=O)=O)cc4[S]([O-])(=O)=O,-0.4261364852
CCCCCCCCCCCCNc1nc(Cl)nc(Nc2ccc3c(O)c(N=Nc4ccc(cc4)N=Nc5ccc(cc5)[S]([O-])(=O)=O)c(cc3c2)[S]([O-])(=O)=O)n1,-3.358911212
C1CC(CCC1COCC2CO2)COCC3CO3,-1.8357972344
CC(CC1=CC(=CC(=O)N1O)C)CC(C)(C)C,-3.9054642035
C=COC(=O)c1ccccc1,-2.6229591952
COC(=O)c1ccc(cc1)C(C)(C)C,-3.7398163758
Cc1cccc(CC(C)(C)CO)c1,-2.8265354685000004
CC1(C)[C@H]2CC=C(CCO)[C@@H]1C2,-2.6959998037
CC1CC(=O)CC(C)(C)C1,-1.6471414632
C=CC(=O)OCCOc1ccccc1c2ccccc2,-3.9515188418
Cc1cc(cc(C)c1O)C(C)(C)c2cc(C)c(O)c(C)c2,-4.952868802799999
CCc1ccc(C)nc1,-1.0042604536
CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OC(=O)[C@H](C)O,-2.9799872046
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,-3.1784471289
Cc1ccc(Nc2ccc(Nc3ccc(C)cc3[S]([O-])(=O)=O)c4C(=O)c5ccccc5C(=O)c24)c(c1)[S]([O-])(=O)=O,-1.4270312571
CC(=C)C(=O)OCCOc1ccccc1,-2.9526471698
CCCCOCCOCCOCc1cc2OCOc2cc1CCC,-4.1510889183
C(COc1ccccc1)Oc2ccccc2,-3.9885265275
CCc1cc(Cc2cc(CC)c(N)c(CC)c2Cl)c(Cl)c(CC)c1N,-7.2780387128
Cc1cc(C)c(Nc2cc(c(N)c3C(=O)c4ccccc4C(=O)c23)[S]([O-])(=O)=O)c(C)c1CNC(=O)c5ccccc5,-1.4396051212999998
[S-]c1sc2ccccc2n1,-4.285895804
CCCCCC/C=C/C1CC(=O)OC1=O,-4.0217535152
CC(C)(c1ccc(O)cc1)c2ccc(O)cc2,-5.229282852
CC1=CC[C@H]2C[C@@H]1C2(C)C,-4.7725704235
O=C1Oc2ccccc2C=C1,-1.8860303607
CC(=C)C1CCC(=CC1)C,-3.8464965295
CCN(CC)c1ccc([C+](c2ccc(cc2)N(CC)Cc3cccc(c3)[S]([O-])(=O)=O)c4ccc(cc4)N(CC)Cc5cccc(c5)[S]([O-])(=O)=O)c(C)c1,-0.6229779303
